"","long","lat","city"
"346","-73.8648268","40.8447819",NA
"347","-73.8648268","40.8447819",NA
"348","-91.1403196","30.4582829",NA
"349","-73.8648268","40.8447819",NA
"350","-73.8648268","40.8447819",NA
"351","-121.530234","38.5804609",NA
"352","-78.7811169","35.79154",NA
"353","-86.5861037","34.7303688",NA
"354","-73.8648268","40.8447819",NA
"355","-73.8648268","40.8447819",NA
"356","-73.8648268","40.8447819",NA
"357","-73.8648268","40.8447819",NA
"358","-112.3576567","33.4353394",NA
"359","-87.2169149","30.421309",NA
"360","-73.8648268","40.8447819",NA
"361","-87.2169149","30.421309",NA
"362","-119.8138027","39.5296329",NA
"363","-73.8648268","40.8447819",NA
"364","-73.8648268","40.8447819",NA
"365","-73.8648268","40.8447819",NA
"366","-73.8648268","40.8447819",NA
"367","-73.8648268","40.8447819",NA
"368","-73.8648268","40.8447819",NA
"369","-73.8648268","40.8447819",NA
"370","-73.8648268","40.8447819",NA
"371","-73.8648268","40.8447819",NA
"372","-119.8138027","39.5296329",NA
"373","-73.8648268","40.8447819",NA
"374","-73.8648268","40.8447819",NA
"375","-73.8648268","40.8447819",NA
"376","-119.8138027","39.5296329",NA
"377","-73.8648268","40.8447819",NA
"378","-73.8648268","40.8447819",NA
"379","-86.5861037","34.7303688",NA
"380","-73.8648268","40.8447819",NA
"381","-91.1403196","30.4582829",NA
"382","-71.4547891","42.9956397",NA
"383","-73.8648268","40.8447819",NA
"384","-73.8648268","40.8447819",NA
"385","-74.1562551","40.7464901",NA
"386","-71.4547891","42.9956397",NA
"387","-73.8648268","40.8447819",NA
"388","-73.8648268","40.8447819",NA
"389","-73.8648268","40.8447819",NA
"390","-73.8648268","40.8447819",NA
"391","-91.1403196","30.4582829",NA
"392","-73.8648268","40.8447819",NA
"393","-73.8648268","40.8447819",NA
"394","-121.530234","38.5804609",NA
"395","-78.7811169","35.79154",NA
"396","-86.5861037","34.7303688",NA
"397","-73.8648268","40.8447819",NA
"398","-73.8648268","40.8447819",NA
"399","-73.8648268","40.8447819",NA
"400","-73.8648268","40.8447819",NA
"401","-112.3576567","33.4353394",NA
"402","-87.2169149","30.421309",NA
"403","-73.8648268","40.8447819",NA
"404","-87.2169149","30.421309",NA
"405","-119.8138027","39.5296329",NA
"406","-73.8648268","40.8447819",NA
"407","-73.8648268","40.8447819",NA
"408","-73.8648268","40.8447819",NA
"409","-73.8648268","40.8447819",NA
"410","-73.8648268","40.8447819",NA
"411","-73.8648268","40.8447819",NA
"412","-73.8648268","40.8447819",NA
"413","-73.8648268","40.8447819",NA
"414","-73.8648268","40.8447819",NA
"415","-119.8138027","39.5296329",NA
"416","-73.8648268","40.8447819",NA
"417","-73.8648268","40.8447819",NA
"418","-73.8648268","40.8447819",NA
"419","-119.8138027","39.5296329",NA
"420","-73.8648268","40.8447819",NA
"421","-73.8648268","40.8447819",NA
"422","-86.5861037","34.7303688",NA
"423","-73.8648268","40.8447819",NA
"424","-91.1403196","30.4582829",NA
"425","-71.4547891","42.9956397",NA
"426","-73.8648268","40.8447819",NA
"427","-73.8648268","40.8447819",NA
"428","-74.1562551","40.7464901",NA
"429","-71.4547891","42.9956397",NA
"430","-73.8648268","40.8447819",NA
"431","-73.8648268","40.8447819",NA
"432","-73.8648268","40.8447819",NA
"433","-73.8648268","40.8447819",NA
"434","-91.1403196","30.4582829",NA
"435","-73.8648268","40.8447819",NA
"436","-73.8648268","40.8447819",NA
"437","-121.530234","38.5804609",NA
"438","-78.7811169","35.79154",NA
"439","-86.5861037","34.7303688",NA
"440","-73.8648268","40.8447819",NA
"441","-73.8648268","40.8447819",NA
"442","-73.8648268","40.8447819",NA
"443","-73.8648268","40.8447819",NA
"444","-112.3576567","33.4353394",NA
"445","-87.2169149","30.421309",NA
"446","-73.8648268","40.8447819",NA
"447","-87.2169149","30.421309",NA
"448","-119.8138027","39.5296329",NA
"449","-73.8648268","40.8447819",NA
"450","-73.8648268","40.8447819",NA
"451","-73.8648268","40.8447819",NA
"452","-73.8648268","40.8447819",NA
"453","-73.8648268","40.8447819",NA
"454","-73.8648268","40.8447819",NA
"455","-73.8648268","40.8447819",NA
"456","-73.8648268","40.8447819",NA
"457","-73.8648268","40.8447819",NA
"458","-119.8138027","39.5296329",NA
"459","-73.8648268","40.8447819",NA
"460","-73.8648268","40.8447819",NA
"461","-73.8648268","40.8447819",NA
"462","-119.8138027","39.5296329",NA
"463","-73.8648268","40.8447819",NA
"464","-73.8648268","40.8447819",NA
"465","-86.5861037","34.7303688",NA
"466","-73.8648268","40.8447819",NA
"467","-91.1403196","30.4582829",NA
"468","-71.4547891","42.9956397",NA
"469","-73.8648268","40.8447819",NA
"470","-73.8648268","40.8447819",NA
"471","-74.1562551","40.7464901",NA
"472","-71.4547891","42.9956397",NA
"473","-73.8648268","40.8447819",NA
"474","-73.8648268","40.8447819",NA
"475","-73.8648268","40.8447819",NA
"476","-73.8648268","40.8447819",NA
"477","-91.1403196","30.4582829",NA
"478","-73.8648268","40.8447819",NA
"479","-73.8648268","40.8447819",NA
"480","-121.530234","38.5804609",NA
"481","-78.7811169","35.79154",NA
"482","-86.5861037","34.7303688",NA
"483","-73.8648268","40.8447819",NA
"484","-73.8648268","40.8447819",NA
"485","-73.8648268","40.8447819",NA
"486","-73.8648268","40.8447819",NA
"487","-112.3576567","33.4353394",NA
"488","-87.2169149","30.421309",NA
"489","-73.8648268","40.8447819",NA
"490","-87.2169149","30.421309",NA
"491","-119.8138027","39.5296329",NA
"492","-73.8648268","40.8447819",NA
"493","-73.8648268","40.8447819",NA
"494","-73.8648268","40.8447819",NA
"495","-73.8648268","40.8447819",NA
